Time,Kinetic Energy,Potential Energy,Total Energy
0,0,49,49
0.05,0.12005,49,49.12005
0.1,0.4682701,48.7599,49.22817
0.15,1.027533,48.28573,49.31327
0.2,1.781629,47.58346,49.36509
0.25,2.715063,46.6592,49.37427
0.3,3.812795,45.51942,49.33221
0.35,5.059931,44.17122,49.23116
0.4,6.44139,42.62274,49.06413
0.45,7.941546,40.88345,48.825
0.5,9.543891,38.96455,48.50845
0.55,11.2307,36.87938,48.11008
0.6,12.98275,34.64373,47.62647
0.65,14.77908,32.27611,47.05519
0.7,16.59687,29.79801,46.39487
0.75,18.41137,27.23402,45.64539
0.8,20.19602,24.61176,44.80779
0.85,21.92268,21.96177,43.88445
0.9,23.56199,19.31709,42.87909
0.95,25.08399,16.71283,41.79682
1,26.45879,14.18531,40.64409
1.05,27.65742,11.7713,39.42872
1.1,28.65286,9.506893,38.15976
1.15,29.421,7.426389,36.84739
1.2,29.94168,5.561147,35.50283
1.25,30.19969,3.938356,34.13805
1.3,30.18553,2.580059,32.76559
1.35,29.89608,1.50221,31.39829
1.4,29.33493,0.7140747,30.049
1.45,28.51244,0.2178591,28.7303
1.5,27.44553,0.008676241,27.45421
1.55,26.15706,0.0748226,26.23188
1.6,24.67503,0.3983526,25.07338
1.65,23.03156,0.9558998,23.98746
1.7,21.26168,1.71969,22.98137
1.75,19.40205,2.658673,22.06072
1.8,17.48977,3.739688,21.22946
1.85,15.56117,4.928603,20.48978
1.9,13.65082,6.19138,19.8422
1.95,11.79063,7.494981,19.28561
2,10.00925,8.808165,18.81742
2.05,8.331609,10.10204,18.43365
2.1,6.778651,11.3505,18.12915
2.15,5.367277,12.53048,17.89776
2.2,4.110408,13.62207,17.73248
2.25,3.017167,14.60853,17.6257
2.3,2.09315,15.47621,17.56936
2.35,1.340737,16.21438,17.55511
2.4,0.7594365,16.81506,17.57449
2.45,0.3462273,17.27284,17.61907
2.5,0.09588699,17.58467,17.68056
2.55,0.001296927,17.74965,17.75095
2.6,0.05371255,17.76887,17.82259
2.65,0.2430001,17.64528,17.88828
2.7,0.5578389,17.38354,17.94138
2.75,0.9858927,16.9899,17.9758
2.8,1.513957,16.47213,17.98609
2.85,2.128086,15.83942,17.96751
2.9,2.813711,15.1023,17.91601
2.95,3.555755,14.27256,17.82831
3,4.338755,13.36314,17.7019
3.05,5.146989,12.38807,17.53506
3.1,5.964629,11.36222,17.32685
3.15,6.775911,10.30123,17.07714
3.2,7.56533,9.221227,16.78656
3.25,8.317857,8.138646,16.4565
3.3,9.019174,7.069919,16.08909
3.35,9.655934,6.031199,15.68713
3.4,10.21602,5.038029,15.25405
3.45,10.68879,4.105042,14.79383
3.5,11.06534,3.245606,14.31095
3.55,11.33873,2.471546,13.81027
3.6,11.50412,1.792846,13.29696
3.65,11.55894,1.217418,12.77636
3.7,11.50297,0.7509352,12.2539
3.75,11.3383,0.3966952,11.73499
3.8,11.06931,0.1555929,11.2249
3.85,10.70252,0.02613228,10.72865
3.9,10.24639,0.004534745,10.25092
3.95,9.711073,0.08489597,9.795969
4,9.108119,0.2594121,9.367531
4.05,8.450133,0.5186448,8.968778
4.1,7.750435,0.8518342,8.602269
4.15,7.022693,1.247209,8.269902
4.2,6.280585,1.69233,7.972915
4.25,5.537474,2.174414,7.711888
4.3,4.806111,2.680629,7.486739
4.35,4.098386,3.198395,7.296782
4.4,3.425117,3.715627,7.140745
4.45,2.795887,4.220963,7.01685
4.5,2.218922,4.703908,6.92283
4.55,1.701025,5.155017,6.856042
4.6,1.247536,5.565969,6.813506
4.65,0.862336,5.929656,6.791992
4.7,0.5478755,6.240209,6.788085
4.75,0.3052312,6.493037,6.798268
4.8,0.1341798,6.684777,6.818956
4.85,0.03328623,6.813334,6.84662
4.9,2.668128E-06,6.877786,6.877789
4.95,0.03077465,6.878359,6.909134
5,0.1211512,6.816377,6.937528
5.05,0.2658981,6.69417,6.960068
5.1,0.4591124,6.51501,6.974123
5.15,0.6943378,6.28302,6.977358
5.2,0.9646806,6.003111,6.967792
5.25,1.262926,5.680843,6.943769
5.3,1.581654,5.322366,6.90402
5.35,1.91336,4.934286,6.847646
5.4,2.250568,4.523549,6.774117
5.45,2.585948,4.097324,6.683272
5.5,2.912434,3.662893,6.575327
5.55,3.223332,3.227503,6.450835
5.6,3.512433,2.798246,6.310679
5.65,3.774109,2.381925,6.156034
5.7,4.003411,1.984946,5.988357
5.75,4.196143,1.613179,5.809322
5.8,4.348938,1.271879,5.620816
5.85,4.459302,0.9655604,5.424862
5.9,4.52565,0.6979547,5.223605
5.95,4.547324,0.4719184,5.019242
6,4.52458,0.2894206,4.814
6.05,4.458564,0.1515124,4.610076
6.1,4.351267,0.05832985,4.409597
6.15,4.205456,0.009124189,4.214581
6.2,4.024594,0.002306772,4.026901
6.25,3.812738,0.03551199,3.84825
6.3,3.574441,0.1056784,3.680119
6.35,3.314622,0.2091417,3.523763
6.4,3.038456,0.34174,3.380196
6.45,2.75125,0.4989215,3.250171
6.5,2.458323,0.6758573,3.13418
6.55,2.164894,0.867555,3.032449
6.6,1.875977,1.068975,2.944952
6.65,1.59629,1.275127,2.871417
6.7,1.330166,1.481166,2.811332
6.75,1.081494,1.682499,2.763993
6.8,0.8536566,1.874831,2.728488
6.85,0.6494928,2.054258,2.703751
6.9,0.4712709,2.217313,2.688584
6.95,0.320674,2.360998,2.681672
7,0.1987988,2.482834,2.681633
7.05,0.1061645,2.580865,2.687029
7.1,0.04273248,2.653672,2.696405
7.15,0.007934214,2.700373,2.708307
7.2,0.000706839,2.720619,2.721326
7.25,0.01953507,2.714565,2.7341
7.3,0.06249839,2.682868,2.745366
7.35,0.1273225,2.626624,2.753946
7.4,0.2114341,2.547343,2.758777
7.45,0.3120175,2.446929,2.758946
7.5,0.4260742,2.327588,2.753662
7.55,0.5504812,2.191826,2.742307
7.6,0.6820511,2.042352,2.724403
7.65,0.8175903,1.882052,2.699643
7.7,0.9539561,1.713921,2.667877
7.75,1.088112,1.540998,2.629109
7.8,1.217178,1.366314,2.583492
7.85,1.338479,1.192837,2.531316
7.9,1.449589,1.023427,2.473016
7.95,1.548366,0.8607616,2.409127
8,1.632986,0.7073094,2.340295
8.05,1.701967,0.5652855,2.267253
8.1,1.754188,0.4366117,2.1908
8.15,1.788898,0.3228889,2.111786
8.2,1.805718,0.2253763,2.031094
8.25,1.804641,0.1449797,1.949621
8.3,1.786015,0.08224267,1.868257
8.35,1.750526,0.0373486,1.787874
8.4,1.699172,0.01013107,1.709303
8.45,1.633233,8.852392E-05,1.633322
8.5,1.554234,0.006407997,1.560642
8.55,1.463903,0.02799335,1.491897
8.6,1.364132,0.06349752,1.42763
8.65,1.256928,0.1113619,1.36829
8.7,1.144373,0.1698537,1.314227
8.75,1.028572,0.2371091,1.265681
8.8,0.911617,0.3111773,1.222794
8.85,0.79554,0.3900598,1.1856
8.9,0.6822776,0.4717567,1.154034
8.95,0.573636,0.5543023,1.127938
9,0.471261,0.6358013,1.107062
9.05,0.3766126,0.7144643,1.091077
9.1,0.2909453,0.7886388,1.079584
9.15,0.2152918,0.8568299,1.072122
9.2,0.1504539,0.917731,1.068185
9.25,0.0969966,0.9702323,1.067229
9.3,0.05524784,1.013434,1.068682
9.35,0.02530297,1.046654,1.071957
9.4,0.007032758,1.069438,1.07647
9.45,9.548279E-05,1.081545,1.081641
9.5,0.003952398,1.082962,1.086914
9.55,0.01788601,1.07387,1.091756
9.6,0.04102083,1.054662,1.095683
9.65,0.07234617,1.025895,1.098241
9.7,0.1107403,0.988303,1.099043
9.75,0.1549956,0.9427515,1.097747
9.8,0.2038445,0.8902396,1.094084
9.85,0.2559857,0.8318549,1.087841
9.9,0.3101089,0.7687575,1.078866
9.95,0.3649203,0.7021656,1.067086
10,0.4191661,0.6333163,1.052482
10.05,0.4716546,0.5634442,1.035099
10.1,0.5212762,0.4937675,1.015044
10.15,0.5670221,0.4254496,0.9924717
10.2,0.6079989,0.3595917,0.9675906
10.25,0.643442,0.2972087,0.9406507
10.3,0.6727256,0.2392144,0.91194
10.35,0.69537,0.186402,0.8817719
10.4,0.7110445,0.1394412,0.8504857
10.45,0.7195694,0.09886443,0.8184338
10.5,0.7209135,0.06506239,0.7859759
10.55,0.7151896,0.03828035,0.75347
10.6,0.7026458,0.01862213,0.7212679
10.65,0.6836565,0.006051119,0.6897076
10.7,0.6587098,0.0003965008,0.6591063
10.75,0.6283939,0.001361648,0.6297556
10.8,0.5933808,0.008535564,0.6019164
10.85,0.5544105,0.02140539,0.5758159
10.9,0.512273,0.03936996,0.5516429
10.95,0.4677912,0.06175538,0.5295466
11,0.4218033,0.08783236,0.5096357
11.05,0.3751453,0.1168301,0.4919754
11.1,0.3286347,0.1479547,0.4765894
11.15,0.2830559,0.1804072,0.4634631
11.2,0.239145,0.2133962,0.4525412
11.25,0.1975782,0.2461558,0.443734
11.3,0.158961,0.2779547,0.4369156
11.35,0.1238188,0.308116,0.4319348
11.4,0.09259082,0.3360205,0.4286113
11.45,0.06562447,0.3611239,0.4267484
11.5,0.04317273,0.3829565,0.4261292
11.55,0.02539314,0.4011315,0.4265246
11.6,0.01234873,0.4153552,0.4277039
11.65,0.004010534,0.4254211,0.4294316
11.7,0.0002620429,0.4312102,0.4314722
11.75,0.0009049468,0.432696,0.433601
11.8,0.005666214,0.4299368,0.435603
11.85,0.01420633,0.4230711,0.4372774
11.9,0.02612843,0.4123098,0.4384382
11.95,0.04098808,0.3979364,0.4389245
12,0.05830368,0.3802935,0.4385972
12.05,0.07756712,0.3597718,0.4373389
12.1,0.09825439,0.336805,0.4350593
12.15,0.1198363,0.3118578,0.4316941
12.2,0.1417885,0.2854197,0.4272082
12.25,0.1636018,0.2579872,0.421589
12.3,0.1847909,0.2300607,0.4148516
12.35,0.204903,0.2021304,0.4070334
12.4,0.2235251,0.1746685,0.3981935
12.45,0.2402902,0.1481216,0.3884118
12.5,0.254883,0.1229039,0.3777869
12.55,0.2670439,0.09938691,0.3664308
12.6,0.2765714,0.07789705,0.3544685
12.65,0.2833245,0.05870968,0.3420342
12.7,0.2872223,0.0420453,0.3292676
12.75,0.2882437,0.02806979,0.3163135
12.8,0.2864256,0.01689034,0.3033159
12.85,0.2818594,0.008556509,0.2904159
12.9,0.2746877,0.003062336,0.27775
12.95,0.2650988,0.0003478725,0.2654467
13,0.2533221,0.0003023861,0.2536245
13.05,0.2396211,0.002768872,0.24239
13.1,0.2242875,0.007548991,0.2318364
13.15,0.2076338,0.01440835,0.2220421
13.2,0.189987,0.02308207,0.2130691
13.25,0.1716813,0.03328219,0.2049635
13.3,0.1530512,0.04470396,0.1977552
13.35,0.134425,0.05703103,0.1914561
13.4,0.1161189,0.06994358,0.1860625
13.45,0.09843091,0.08312357,0.1815545
13.5,0.08163611,0.09626339,0.1778995
13.55,0.06598197,0.1090674,0.1750493
13.6,0.05168482,0.1212593,0.1729441
13.65,0.03892683,0.132589,0.1715159
13.7,0.02785383,0.1428312,0.170685
13.75,0.018574,0.1517916,0.1703656
13.8,0.0111573,0.1593103,0.1704676
13.85,0.005635591,0.1652628,0.1708984
13.9,0.00200355,0.1695584,0.171562
13.95,0.0002203066,0.1721473,0.1723676
14,0.0002115939,0.1730094,0.173221
14.05,0.00187255,0.1721649,0.1740375
14.1,0.005070943,0.1696633,0.1747342
14.15,0.009650797,0.1655851,0.1752359
14.2,0.01543631,0.1600396,0.175476
14.25,0.02223602,0.1531619,0.1753979
14.3,0.02984714,0.145106,0.1749531
14.35,0.03805986,0.1360449,0.1741048
14.4,0.0466617,0.1261639,0.1728255
14.45,0.05544166,0.1156564,0.1710981
14.5,0.06419422,0.1047239,0.1689181
14.55,0.07272314,0.09356562,0.1662888
14.6,0.0808448,0.0823784,0.1632232
14.65,0.08839122,0.07135332,0.1597445
14.7,0.09521271,0.06067106,0.1558838
14.75,0.1011801,0.05049922,0.1516793
14.8,0.1061862,0.04098971,0.147176
14.85,0.1101476,0.03227564,0.1424232
