Time,Kinetic Energy,Potential Energy,Total Energy
0,0,49,49
0.05,0.1170675,48.87995,48.99702
0.1,0.4567741,48.52577,48.98254
0.15,1.002555,47.94331,48.94586
0.2,1.738599,47.13847,48.87706
0.25,2.649599,46.11742,48.76701
0.3,3.72047,44.88688,48.60735
0.35,4.936023,43.4544,48.39042
0.4,6.280637,41.82875,48.10938
0.45,7.737917,40.02023,47.75814
0.5,9.290389,38.04112,47.33151
0.55,10.91922,35.90593,46.82515
0.6,12.60399,33.63177,46.23576
0.65,14.32257,31.23849,45.56106
0.7,16.05107,28.74884,44.7999
0.75,17.76392,26.18855,43.95247
0.8,19.4341,23.58608,43.02018
0.85,21.03349,20.97238,42.00587
0.9,22.53341,18.38039,40.9138
0.95,23.90528,15.84441,39.74969
1,25.12138,13.39927,38.52065
1.05,26.15577,11.07939,37.23516
1.1,26.98521,8.917734,35.90294
1.15,27.59004,6.944737,34.53478
1.2,27.95512,5.187237,33.14235
1.25,28.07044,3.667512,31.73795
1.3,27.93179,2.402448,30.33423
1.35,27.54095,1.402952,28.94391
1.4,26.90586,0.6735786,27.57944
1.45,26.04027,0.212459,26.25273
1.5,24.96337,0.01149757,24.97487
1.55,23.69901,0.05682581,23.75583
1.6,22.27484,0.3294884,22.60433
1.65,20.72128,0.8062909,21.52757
1.7,19.07046,1.460762,20.53122
1.75,17.35514,2.264166,19.6193
1.8,15.60771,3.186505,18.79421
1.85,13.85929,4.197455,18.05675
1.9,12.139,5.267206,17.40621
1.95,10.47331,6.367171,16.84048
2,8.885675,7.470571,16.35625
2.05,7.396209,8.552846,15.94905
2.1,6.021606,9.591951,15.61356
2.15,4.775117,10.56854,15.34366
2.2,3.666658,11.46603,15.13269
2.25,2.702992,12.27056,14.97355
2.3,1.887951,12.97095,14.85891
2.35,1.2227,13.55857,14.78127
2.4,0.7060126,14.02717,14.73319
2.45,0.3345371,14.37276,14.70729
2.5,0.1030612,14.59339,14.69645
2.55,0.004753002,14.68907,14.69383
2.6,0.03138154,14.66158,14.69296
2.65,0.1735157,14.51431,14.68782
2.7,0.4207017,14.2522,14.67291
2.75,0.7616241,13.88161,14.64323
2.8,1.184252,13.41015,14.5944
2.85,1.675979,12.84668,14.52265
2.9,2.223756,12.20108,14.42484
2.95,2.814229,11.48426,14.29849
3,3.433884,10.70792,14.1418
3.05,4.069194,9.884468,13.95366
3.1,4.706781,9.026837,13.73362
3.15,5.333593,8.148294,13.48189
3.2,5.937083,7.262242,13.19932
3.25,6.505398,6.38199,12.88739
3.3,7.027576,5.520552,12.54813
3.35,7.493733,4.690369,12.1841
3.4,7.895245,3.903095,11.79834
3.45,8.224909,3.169354,11.39426
3.5,8.477082,2.498536,10.97562
3.55,8.647791,1.898602,10.54639
3.6,8.734797,1.375941,10.11074
3.65,8.737626,0.93523,9.672856
3.7,8.657544,0.5793928,9.236937
3.75,8.497499,0.309567,8.807066
3.8,8.262003,0.1251334,8.387136
3.85,7.956987,0.02379433,7.980781
3.9,7.589616,0.001689788,7.591306
3.95,7.168072,0.05355485,7.221627
4,6.701324,0.1729074,6.874231
4.05,6.198886,0.3522577,6.551144
4.1,5.670568,0.5833339,6.253902
4.15,5.126244,0.8573085,5.983552
4.2,4.57562,1.165023,5.740644
4.25,4.028038,1.49722,5.525258
4.3,3.49229,1.844725,5.337016
4.35,2.976469,2.198653,5.175122
4.4,2.487843,2.550543,5.038386
4.45,2.032768,2.892522,4.92529
4.5,1.616618,3.217387,4.834005
4.55,1.243751,3.51873,4.762481
4.6,0.9174916,3.790969,4.708461
4.65,0.6401462,4.029402,4.669548
4.7,0.4130246,4.230227,4.643252
4.75,0.2364855,4.390573,4.627058
4.8,0.1099908,4.508451,4.618442
4.85,0.03217218,4.58275,4.614923
4.9,0.0009037715,4.613225,4.614129
4.95,0.01338165,4.600407,4.613789
5,0.06620727,4.545588,4.611795
5.05,0.1554738,4.450761,4.606235
5.1,0.2768547,4.318528,4.595383
5.15,0.4256923,4.152064,4.577756
5.2,0.5970882,3.955003,4.552091
5.25,0.7859917,3.731405,4.517397
5.3,0.9872884,3.485628,4.472916
5.35,1.195886,3.222276,4.418162
5.4,1.406798,2.946098,4.352896
5.45,1.615225,2.661895,4.27712
5.5,1.816627,2.374447,4.191074
5.55,2.006799,2.088418,4.095217
5.6,2.181927,1.808279,3.990206
5.65,2.338652,1.538233,3.876885
5.7,2.474108,1.282133,3.756241
5.75,2.585964,1.043443,3.629406
5.8,2.672448,0.8251591,3.497607
5.85,2.73236,0.6297864,3.362147
5.9,2.765079,0.4592935,3.224372
5.95,2.770547,0.3151015,3.085648
6,2.749252,0.1980767,2.947329
6.05,2.702199,0.108532,2.810731
6.1,2.630862,0.04624571,2.677108
6.15,2.53714,0.01048921,2.54763
6.2,2.423296,6.301655E-05,2.423359
6.25,2.291896,0.01334527,2.305241
6.3,2.145741,0.0483431,2.194084
6.35,1.9878,0.1027526,2.090552
6.4,1.821139,0.1740206,1.995159
6.45,1.648856,0.2594067,1.908263
6.5,1.474017,0.356048,1.830065
6.55,1.299592,0.4610273,1.76062
6.6,1.128407,0.5714277,1.699834
6.65,0.9630873,0.6843958,1.647483
6.7,0.8060245,0.7971818,1.603206
6.75,0.6593383,0.9072008,1.566539
6.8,0.5248508,1.012062,1.536913
6.85,0.4040683,1.109613,1.513681
6.9,0.298169,1.197957,1.496126
6.95,0.2079996,1.275477,1.483476
7,0.1340768,1.340855,1.474932
7.05,0.07659567,1.393081,1.469677
7.1,0.03544288,1.431446,1.466889
7.15,0.01021522,1.455546,1.465761
7.2,0.0002421135,1.465267,1.46551
7.25,0.004611467,1.460785,1.465396
7.3,0.02219843,1.442529,1.464727
7.35,0.05169633,1.411178,1.462874
7.4,0.09164923,1.367629,1.459278
7.45,0.1404853,1.312967,1.453452
7.5,0.1965509,1.248444,1.444995
7.55,0.2581441,1.175443,1.433587
7.6,0.3235479,1.095448,1.418996
7.65,0.3910624,1.010013,1.401075
7.7,0.4590345,0.9207208,1.379755
7.75,0.5258865,0.8291723,1.355059
7.8,0.5901417,0.7369341,1.327076
7.85,0.6504468,0.6455238,1.295971
7.9,0.7055925,0.5563815,1.261974
7.95,0.7545288,0.4708441,1.225373
8,0.7963785,0.3901179,1.186496
8.05,0.8304452,0.3152754,1.145721
8.1,0.8562194,0.2472282,1.103448
8.15,0.8733788,0.1867212,1.0601
8.2,0.8817864,0.1343274,1.016114
8.25,0.8814853,0.0904426,0.9719279
8.3,0.8726887,0.05528398,0.9279726
8.35,0.8557678,0.02889579,0.8846636
8.4,0.8312378,0.01115784,0.8423956
8.45,0.7997406,0.001793542,0.8015341
8.5,0.762026,0.0003829886,0.7624089
8.55,0.7189326,0.006378181,0.7253107
8.6,0.6713659,0.01912009,0.690486
8.65,0.6202781,0.03785677,0.6581348
8.7,0.5666469,0.06176155,0.6284084
8.75,0.5114552,0.08995551,0.6014107
8.8,0.4556713,0.1215223,0.5771936
8.85,0.400231,0.155532,0.555763
8.9,0.3460214,0.1910586,0.53708
8.95,0.2938654,0.2271982,0.5210636
9,0.2445092,0.2630794,0.5075885
9.05,0.1986122,0.2978874,0.4964997
9.1,0.1567383,0.3308728,0.4876111
9.15,0.1193498,0.3613569,0.4807067
9.2,0.08680404,0.3887486,0.4755527
9.25,0.05935173,0.4125496,0.4719013
9.3,0.03713736,0.4323561,0.4694935
9.35,0.02020186,0.4478626,0.4680645
9.4,0.008487011,0.4588659,0.4673529
9.45,0.001841424,0.4652585,0.4671
9.5,2.798137E-05,0.4670269,0.4670549
9.55,0.002732487,0.4642537,0.4669862
9.6,0.009573311,0.4571034,0.4666767
9.65,0.02011182,0.4458194,0.4659312
9.7,0.03386343,0.4307132,0.4645766
9.75,0.05030882,0.4121563,0.4624652
9.8,0.06890541,0.390569,0.4594744
9.85,0.08909849,0.3664132,0.4555117
9.9,0.1103323,0.3401779,0.4505102
9.95,0.1320606,0.3123693,0.44443
10,0.1537561,0.2835072,0.4372633
10.05,0.1749199,0.254102,0.4290218
10.1,0.1950893,0.2246545,0.4197438
10.15,0.2138448,0.1956475,0.4094923
10.2,0.2308162,0.1675292,0.3983454
10.25,0.2456869,0.1407141,0.386401
10.3,0.2581976,0.115573,0.3737706
10.35,0.2681486,0.09242894,0.3605775
10.4,0.2754,0.07155513,0.3469552
10.45,0.2798727,0.05316677,0.3330395
10.5,0.281546,0.03742458,0.3189706
10.55,0.2804555,0.02443215,0.3048877
10.6,0.2766897,0.01423776,0.2909274
10.65,0.2703856,0.006834673,0.2772202
10.7,0.2617239,0.002164673,0.2638886
10.75,0.2509233,0.0001220959,0.2510454
10.8,0.2382343,0.0005571053,0.2387914
10.85,0.2239328,0.003281632,0.2272144
10.9,0.2083136,0.008074047,0.2163876
10.95,0.1916838,0.01468544,0.2063693
11,0.1743564,0.02284585,0.1972023
11.05,0.1566436,0.03226947,0.188913
11.1,0.1388509,0.04266302,0.181514
11.15,0.1212719,0.05372944,0.1750014
11.2,0.1041826,0.06517527,0.1693579
11.25,0.08783744,0.07671368,0.1645511
11.3,0.0724654,0.08807445,0.1605398
11.35,0.05826658,0.09900205,0.1572686
11.4,0.04541012,0.1092649,0.154675
11.45,0.03403217,0.1186561,0.1526883
11.5,0.0242351,0.1269976,0.1512327
11.55,0.01608705,0.134139,0.1502261
11.6,0.009622413,0.1399626,0.149585
11.65,0.004842813,0.1443823,0.1492251
11.7,0.001718582,0.1473439,0.1490625
11.75,0.0001909121,0.148825,0.1490159
11.8,0.0001743578,0.1488341,0.1490085
11.85,0.001559751,0.1474054,0.1489652
11.9,0.004217427,0.1446028,0.1488202
11.95,0.008000653,0.1405137,0.1485144
12,0.01274927,0.1352453,0.1479945
12.05,0.01829334,0.128923,0.1472163
12.1,0.02445687,0.1216864,0.1461433
12.15,0.03106132,0.1136894,0.1447507
12.2,0.03792926,0.1050918,0.143021
12.25,0.04488763,0.09605671,0.1409443
12.3,0.05177074,0.0867492,0.1385199
12.35,0.05842308,0.07733441,0.1357575
12.4,0.06470185,0.06796813,0.13267
12.45,0.07047893,0.05880234,0.1292813
12.5,0.07564269,0.04997535,0.125618
12.55,0.08009928,0.0416148,0.1217141
12.6,0.08377353,0.0338327,0.1176062
12.65,0.08660948,0.02672617,0.1133356
12.7,0.08857048,0.02037467,0.1089452
12.75,0.08963898,0.01484029,0.1044793
12.8,0.089816,0.01016626,0.09998225
12.85,0.08912002,0.006378457,0.09549848
12.9,0.0875858,0.003485064,0.09107086
12.95,0.08526307,0.001477041,0.08674011
13,0.08221463,0.0003295435,0.08254418
13.05,0.07851464,2.925115E-06,0.07851756
13.1,0.07424664,0.0004441942,0.07469084
13.15,0.06950134,0.001588699,0.07109004
13.2,0.06437466,0.003362234,0.06773689
13.25,0.05896551,0.005682384,0.06464789
13.3,0.05337388,0.008460836,0.06183472
13.35,0.04769875,0.01160512,0.05930386
13.4,0.04203631,0.01502097,0.05705727
13.45,0.03647812,0.01861376,0.05509189
13.5,0.03110979,0.02229015,0.05339994
13.55,0.02600939,0.0259611,0.05197049
13.6,0.02124647,0.02954141,0.05078787
13.65,0.01688107,0.03295324,0.0498343
13.7,0.01296304,0.03612497,0.04908801
13.75,0.009531603,0.03899373,0.04852533
13.8,0.006615118,0.04150634,0.04812146
13.85,0.004231041,0.04361999,0.04785103
13.9,0.002386088,0.04529965,0.04768573
13.95,0.001076701,0.04652318,0.04759989
14,0.000289563,0.04727641,0.04756598
14.05,2.336186E-06,0.04755696,0.0475593
14.1,0.0001845198,0.04736984,0.04755436
14.15,0.0007984212,0.04673107,0.04752949
14.2,0.001800225,0.04566399,0.04746421
14.25,0.003141124,0.0441995,0.04734062
14.3,0.004768493,0.04237328,0.04714178
14.35,0.006627035,0.04022887,0.04685591
14.4,0.008660029,0.0378127,0.04647273
14.45,0.01081042,0.03517418,0.04598459
14.5,0.01302192,0.03236473,0.04538665
14.55,0.01524009,0.02943766,0.04467775
14.6,0.0174132,0.02644548,0.04385868
14.65,0.01949313,0.02343983,0.04293296
14.7,0.02143615,0.02047063,0.04190678
14.75,0.02320348,0.01758391,0.04078739
14.8,0.02476176,0.0148232,0.03958495
14.85,0.02608349,0.01222698,0.03831047
14.9,0.02714723,0.009828943,0.03697618
14.95,0.02793769,0.007658063,0.03559575
15,0.02844578,0.005736955,0.03418274
15.05,0.02866839,0.004083131,0.03275152
15.1,0.02860818,0.002708106,0.03131628
15.15,0.02827332,0.001617616,0.02989094
15.2,0.02767692,0.0008121813,0.0284891
