Time,Kinetic Energy,Potential Energy,Total Energy
0,0,49,49
0.05,0.1170921,48.88095,48.99805
0.1,0.456868,48.52773,48.9846
0.15,1.002758,47.94618,48.94894
0.2,1.738945,47.14223,48.88117
0.25,2.650124,46.12204,48.77216
0.3,3.721207,44.89233,48.61353
0.35,4.937012,43.46067,48.39768
0.4,6.281921,41.83582,48.11774
0.45,7.739552,40.0281,47.76765
0.5,9.292439,38.0498,47.34224
0.55,10.92176,35.91544,46.8372
0.6,12.60713,33.64207,46.24919
0.65,14.32642,31.24957,45.57598
0.7,16.05575,28.76071,44.81646
0.75,17.7696,26.20115,43.97075
0.8,19.44095,23.59935,43.0403
0.85,21.0417,20.9862,42.02791
0.9,22.54319,18.39466,40.93785
0.95,23.91685,15.85894,39.77579
1,25.13496,13.41385,38.54881
1.05,26.17158,11.09377,37.26535
1.1,27.00344,8.931649,35.93509
1.15,27.61088,6.957885,34.56876
1.2,27.97868,5.199307,33.17799
1.25,28.09683,3.678198,31.77502
1.3,27.96101,2.411482,30.37249
1.35,27.57298,1.410094,28.98308
1.4,26.94056,0.6786495,27.61921
1.45,26.07745,0.2153508,26.2928
1.5,25.00275,0.01217953,25.01493
1.55,23.74024,0.05535502,23.7956
1.6,22.31751,0.3260108,22.64352
1.65,20.76492,0.8010355,21.56595
1.7,19.11457,1.454031,20.5686
1.75,17.3992,2.256331,19.65553
1.8,15.6512,3.177982,18.82918
1.85,13.90171,4.188688,18.0904
1.9,12.17986,5.258663,17.43852
1.95,10.51217,6.359318,16.87148
2,8.922129,7.463864,16.38599
2.05,7.429924,8.547703,15.97763
2.1,6.052301,9.588772,15.64107
2.15,4.802576,10.56767,15.37025
2.2,3.690728,11.46777,15.1585
2.25,2.723578,12.27517,14.99875
2.3,1.90502,12.97862,14.88364
2.35,1.236275,13.56944,14.80572
2.4,0.7161667,14.04135,14.75751
2.45,0.3413926,14.39027,14.73166
2.5,0.1067851,14.61422,14.72101
2.55,0.005553097,14.71317,14.71872
2.6,0.02950346,14.68882,14.71833
2.65,0.1692394,14.54456,14.7138
2.7,0.4143391,14.28527,14.69961
2.75,0.7535153,13.91725,14.67076
2.8,1.174763,13.44809,14.62285
2.85,1.665497,12.8866,14.5521
2.9,2.212687,12.24266,14.45534
2.95,2.802995,11.5271,14.33009
3,3.422914,10.75162,14.17453
3.05,4.058921,9.9286,13.98752
3.1,4.697637,9.07094,13.76858
3.15,5.325995,8.191905,13.5179
3.2,5.931433,7.304896,13.23633
3.25,6.50207,6.423238,12.92531
3.3,7.026911,5.559955,12.58687
3.35,7.496027,4.727508,12.22354
3.4,7.900742,3.937583,11.83832
3.45,8.233794,3.200843,11.43464
3.5,8.489476,2.526736,11.01621
3.55,8.663745,1.923279,10.58702
3.6,8.754288,1.396923,10.15121
3.65,8.760555,0.9524217,9.712977
3.7,8.683743,0.592774,9.276518
3.75,8.526725,0.3191933,8.845918
3.8,8.293952,0.1311343,8.425086
3.85,7.991297,0.02637011,8.017667
3.9,7.625875,0.001106655,7.626982
3.95,7.205832,0.05013929,7.255971
4,6.740105,0.1670354,6.907141
4.05,6.238197,0.3443461,6.582543
4.1,5.709913,0.5738292,6.283742
4.15,5.165132,0.84668,6.011812
4.2,4.613581,1.153746,5.767327
4.25,4.064627,1.485766,5.550393
4.3,3.5271,1.833558,5.360658
4.35,3.009135,2.188209,5.197343
4.4,2.518052,2.541229,5.059281
4.45,2.060259,2.884713,4.944972
4.5,1.641186,3.211411,4.852597
4.55,1.265249,3.514871,4.78012
4.6,0.9358324,3.789455,4.725288
4.65,0.6552976,4.030413,4.685711
4.7,0.4250109,4.233894,4.658905
4.75,0.245383,4.396965,4.642347
4.8,0.1159257,4.51759,4.633515
4.85,0.03531555,4.594607,4.629922
4.9,0.00146788,4.627716,4.629184
4.95,0.01161487,4.617413,4.629028
5,0.06238919,4.564939,4.627328
5.05,0.1499099,4.47225,4.62216
5.1,0.2698705,4.341913,4.611783
5.15,0.417628,4.177063,4.59469
5.2,0.5882928,3.981328,4.56962
5.25,0.7768173,3.758729,4.535547
5.3,0.9780838,3.513628,4.491712
5.35,1.186991,3.250611,4.437602
5.4,1.398539,2.974419,4.372958
5.45,1.607907,2.689867,4.297774
5.5,1.810532,2.40174,4.212272
5.55,2.002176,2.114717,4.116893
5.6,2.178993,1.833299,4.012292
5.65,2.337586,1.561705,3.899292
5.7,2.475048,1.303829,3.778877
5.75,2.589005,1.063165,3.65217
5.8,2.677642,0.8427491,3.520391
5.85,2.739714,0.6451242,3.384838
5.9,2.774554,0.4723099,3.246864
5.95,2.782065,0.3257667,3.107832
6,2.762694,0.206404,2.969098
6.05,2.717407,0.1145791,2.831986
6.1,2.647647,0.05010971,2.697757
6.15,2.555285,0.01230539,2.56759
6.2,2.442561,5.982809E-08,2.442561
6.25,2.312023,0.01160142,2.323625
6.3,2.166462,0.04514182,2.211604
6.35,2.008839,0.09833514,2.107174
6.4,1.842221,0.1686425,2.010864
6.45,1.669714,0.253332,1.923046
6.5,1.494391,0.3495439,1.843935
6.55,1.319241,0.4543557,1.773597
6.6,1.147108,0.5648468,1.711955
6.65,0.9806423,0.6781448,1.658787
6.7,0.8222616,0.7914876,1.613749
6.75,0.6741147,0.9022713,1.576386
6.8,0.538054,1.008079,1.546133
6.85,0.4156176,1.106732,1.52235
6.9,0.308016,1.196304,1.50432
6.95,0.2161274,1.275154,1.491281
7,0.1404992,1.341931,1.48243
7.05,0.08135603,1.395594,1.47695
7.1,0.03861192,1.435401,1.474013
7.15,0.01188902,1.460926,1.472815
7.2,0.0005392683,1.472024,1.472563
7.25,0.00367024,1.468842,1.472513
7.3,0.02017355,1.451795,1.471969
7.35,0.04875566,1.421535,1.47029
7.4,0.08797027,1.378939,1.466909
7.45,0.1362518,1.325083,1.461335
7.5,0.1919491,1.261206,1.453155
7.55,0.2533598,1.18868,1.44204
7.6,0.3187625,1.108985,1.427747
7.65,0.38645,1.023669,1.410119
7.7,0.4547591,0.9343262,1.389085
7.75,0.5220988,0.8425538,1.364653
7.8,0.586977,0.7499331,1.33691
7.85,0.6480233,0.6579893,1.306013
7.9,0.704009,0.5681768,1.272186
7.95,0.753864,0.4818453,1.235709
8,0.7966896,0.400222,1.196912
8.05,0.8317677,0.3243983,1.156166
8.1,0.8585674,0.2553028,1.11387
8.15,0.8767447,0.1937056,1.07045
8.2,0.8861429,0.1401974,1.02634
8.25,0.8867854,0.09519444,0.9819798
8.3,0.8788674,0.05893516,0.9378026
8.35,0.8627448,0.0314833,0.8942281
8.4,0.838919,0.01273569,0.8516546
8.45,0.8080202,0.002431753,0.810452
8.5,0.7707895,0.000166352,0.7709559
8.55,0.7280588,0.005403718,0.7334625
8.6,0.6807299,0.01749452,0.6982244
8.65,0.629754,0.0356939,0.6654479
