Time,Kinetic Energy,Potential Energy,Total Energy
0,0,49,49
0.05,0.12005,48.7599,48.87995
0.1,0.4682644,48.28573,48.754
0.15,1.027459,47.58348,48.61094
0.2,1.781245,46.65932,48.44057
0.25,2.713775,45.51979,48.23357
0.3,3.809436,44.1722,47.98164
0.35,5.052514,42.62485,47.67736
0.4,6.426847,40.8875,47.31435
0.45,7.915474,38.97171,46.88719
0.5,9.500312,36.89122,46.39153
0.55,11.16186,34.66222,45.82409
0.6,12.87899,32.3037,45.18269
0.65,14.6288,29.8375,44.4663
0.7,16.38655,27.28857,43.67513
0.75,18.12582,24.68468,42.8105
0.8,19.8187,22.05629,41.87499
0.85,21.43619,19.43615,40.87234
0.9,22.94878,16.85865,39.80743
0.95,24.32713,14.35906,38.68619
1,25.54291,11.97263,37.51554
1.05,26.56972,9.733539,36.30326
1.1,27.38408,7.673805,35.05788
1.15,27.96633,5.822165,33.78849
1.2,28.30157,4.203042,32.50461
1.25,28.38036,2.835638,31.216
1.3,28.19925,1.733253,29.9325
1.35,27.76107,0.9027992,28.66387
1.4,27.07495,0.3446199,27.41957
1.45,26.15602,0.05260893,26.20863
1.5,25.02491,0.01458894,25.0395
1.55,23.7069,0.2129347,23.91984
1.6,22.23106,0.6253981,22.85646
1.65,20.62911,1.226062,21.85517
1.7,18.9343,1.986373,20.92068
1.75,17.18036,2.876179,20.05654
1.8,15.40042,3.864705,19.26513
1.85,13.62612,4.921457,18.54758
1.9,11.88686,6.017,17.90386
1.95,10.20922,7.123572,17.33279
2,8.616547,8.215576,16.83212
2.05,7.128713,9.269909,16.39862
2.1,5.762018,10.2662,16.02822
2.15,4.529219,11.18686,15.71608
2.2,3.439659,12.01714,15.4568
2.25,2.499466,12.74503,15.24449
2.3,1.711807,13.36112,15.07293
2.35,1.077159,13.85853,14.93569
2.4,0.5935995,14.23267,14.82627
2.45,0.2570873,14.48116,14.73825
2.5,0.06172755,14.60357,14.6653
2.55,2.050859E-05,14.60134,14.60136
2.6,0.06308515,14.47761,14.5407
2.65,0.2408601,14.23708,14.47794
2.7,0.5222838,13.88596,14.40824
2.75,0.8954574,13.43176,14.32722
2.8,1.347796,12.88322,14.23102
2.85,1.866169,12.25026,14.11643
2.9,2.437048,11.54372,13.98077
2.95,3.046642,10.77539,13.82204
3,3.681055,9.957737,13.63879
3.05,4.326444,9.103782,13.43023
3.1,4.969193,8.226925,13.19612
3.15,5.596089,7.340726,12.93682
3.2,6.194525,6.458695,12.65322
3.25,6.752691,5.594034,12.34673
3.3,7.259772,4.75941,12.01918
3.35,7.706146,3.966697,11.67284
3.4,8.083559,3.226751,11.31031
3.45,8.385285,2.549187,10.93447
3.5,8.606257,1.94218,10.54844
3.55,8.743158,1.412319,10.15548
3.6,8.794476,0.9644748,9.75895
3.65,8.760509,0.601728,9.362238
3.7,8.643325,0.3253492,8.968674
3.75,8.446671,0.134824,8.581494
3.8,8.175842,0.02792448,8.203767
3.85,7.837509,0.0008326218,7.838341
3.9,7.439509,0.0482967,7.487806
3.95,6.99062,0.1638222,7.154442
4,6.500306,0.3398839,6.840189
4.05,5.978473,0.568153,6.546626
4.1,5.435214,0.8397357,6.274949
4.15,4.880565,1.145399,6.025964
4.2,4.32429,1.475796,5.800086
4.25,3.775679,1.821674,5.597353
4.3,3.243372,2.174063,5.417436
4.35,2.735224,2.524427,5.259652
4.4,2.258191,2.864826,5.123017
4.45,1.818246,3.188016,5.006262
4.5,1.420334,3.487532,4.907866
4.55,1.068341,3.757769,4.82611
4.6,0.7650965,3.994013,4.759109
4.65,0.5123921,4.192472,4.704865
4.7,0.3110192,4.350273,4.661292
4.75,0.1608209,4.465465,4.626286
4.8,0.06075587,4.536972,4.597728
4.85,0.008971116,4.564594,4.573565
4.9,0.00288174,4.54893,4.551811
4.95,0.03925595,4.491335,4.530591
5,0.1143035,4.39386,4.508163
5.05,0.2237663,4.259183,4.482949
5.1,0.3630109,4.090555,4.453566
5.15,0.5271208,3.891683,4.418804
5.2,0.7109895,3.666687,4.377677
5.25,0.9094113,3.419996,4.329407
5.3,1.117172,3.156259,4.273431
5.35,1.329136,2.880276,4.209412
5.4,1.54033,2.596874,4.137204
5.45,1.746024,2.310855,4.056879
5.5,1.941803,2.026896,3.968699
5.55,2.12364,1.749452,3.873092
5.6,2.287947,1.482702,3.770649
5.65,2.431636,1.230466,3.662103
5.7,2.552152,0.9961483,3.548301
5.75,2.647507,0.7826796,3.430187
5.8,2.716296,0.5924815,3.308777
5.85,2.757704,0.4274366,3.185141
5.9,2.771502,0.2888681,3.06037
5.95,2.758026,0.1775367,2.935563
6,2.718146,0.09364934,2.811795
6.05,2.653232,0.03687878,2.69011
6.1,2.565099,0.00639025,2.571489
6.15,2.455954,0.0008857099,2.45684
6.2,2.328329,0.01865096,2.34698
6.25,2.185017,0.05761033,2.242628
6.3,2.028999,0.1153882,2.144387
6.35,1.863374,0.1893716,2.052745
6.4,1.691289,0.2767755,1.968065
6.45,1.515875,0.3747096,1.890584
6.5,1.340179,0.4802417,1.820421
6.55,1.16711,0.5904573,1.757568
6.6,0.999388,0.7025114,1.701899
6.65,0.8394977,0.8136905,1.653188
6.7,0.6896545,0.9214512,1.611106
6.75,0.5517743,1.02346,1.575234
6.8,0.4274532,1.117627,1.54508
6.85,0.3179548,1.20213,1.520085
6.9,0.2242031,1.275434,1.499637
6.95,0.1467847,1.336316,1.4831
7,0.08595512,1.383847,1.469802
7.05,0.04165234,1.41742,1.459072
7.1,0.01351473,1.436721,1.450236
7.15,0.0009035774,1.441735,1.442639
7.2,0.002929188,1.432719,1.435648
7.25,0.01848011,1.410193,1.428673
7.3,0.04625462,1.374913,1.421168
7.35,0.08479395,1.327853,1.412647
7.4,0.1325168,1.270159,1.402676
7.45,0.187754,1.203133,1.390887
7.5,0.2487831,1.1282,1.376983
7.55,0.3138629,1.046873,1.360736
7.6,0.3812655,0.9607281,1.341994
7.65,0.4493087,0.8713585,1.320667
7.7,0.5163842,0.780355,1.296739
7.75,0.5809847,0.6892688,1.270253
7.8,0.6417272,0.5995871,1.241314
7.85,0.6973734,0.5127138,1.210087
7.9,0.7468471,0.4299306,1.176778
7.95,0.7892467,0.352394,1.141641
8,0.8238556,0.2811048,1.10496
8.05,0.8501459,0.2169066,1.067052
8.1,0.8677815,0.1604696,1.028251
8.15,0.8766152,0.1122875,0.9889027
8.2,0.8766828,0.07267497,0.9493578
8.25,0.8681941,0.04176995,0.9099641
8.3,0.8515201,0.01954188,0.871062
8.35,0.8271784,0.005796003,0.8329744
8.4,0.7958159,0.0001872912,0.7960032
8.45,0.7581899,0.002234184,0.760424
8.5,0.7151473,0.01133417,0.7264815
8.55,0.6676039,0.02678196,0.6943858
8.6,0.6165225,0.04778777,0.6643103
8.65,0.5628918,0.07349811,0.6363899
8.7,0.5077052,0.1030148,0.61072
8.75,0.4519411,0.1354158,0.5873569
8.8,0.3965442,0.1697721,0.5663164
8.85,0.342409,0.2051697,0.5475788
8.9,0.2903642,0.2407203,0.5310845
8.95,0.2411607,0.2755871,0.5167477
9,0.1954598,0.3089859,0.5044456
9.05,0.1538259,0.3402081,0.494034
9.1,0.11672,0.3686268,0.4853468
9.15,0.08449586,0.393699,0.4781949
9.2,0.05739915,0.4149827,0.4723818
9.25,0.03556764,0.432127,0.4676946
9.3,0.01903437,0.4448891,0.4639234
9.35,0.007732048,0.4531193,0.4608514
9.4,0.001499465,0.456766,0.4582655
9.45,8.918708E-05,0.4558752,0.4559644
9.5,0.003176529,0.4505741,0.4537506
9.55,0.01036954,0.4410773,0.4514469
9.6,0.02121974,0.4276676,0.4488873
9.65,0.03523341,0.410691,0.4459244
9.7,0.05188306,0.3905484,0.4424314
9.75,0.07061908,0.3676892,0.4383082
9.8,0.0908814,0.342587,0.4334684
9.85,0.1121103,0.3157447,0.427855
9.9,0.1337573,0.287671,0.4214283
9.95,0.1552948,0.2588794,0.4141741
10,0.1762251,0.2298759,0.406101
10.05,0.196089,0.2011442,0.3972332
10.1,0.2144718,0.1731428,0.3876145
10.15,0.2310098,0.1462961,0.3773059
10.2,0.2453944,0.1209884,0.3663828
10.25,0.2573756,0.09755737,0.354933
10.3,0.266764,0.07628857,0.3430525
10.35,0.2734311,0.05741484,0.330846
10.4,0.2773094,0.0411121,0.3184215
10.45,0.2783903,0.0275012,0.3058915
10.5,0.2767214,0.01664541,0.2933668
10.55,0.2724032,0.008553569,0.2809567
10.6,0.2655837,0.003182414,0.2687661
10.65,0.2564544,0.0004395306,0.256894
10.7,0.2452434,0.000187679,0.245431
10.75,0.2322093,0.00224977,0.2344591
10.8,0.2176352,0.006413943,0.2240491
10.85,0.2018211,0.01243966,0.2142608
10.9,0.1850781,0.02006326,0.2051414
10.95,0.1677212,0.029005,0.1967262
11,0.1500629,0.03897484,0.1890377
11.05,0.1324074,0.04967828,0.1820857
11.1,0.1150453,0.06082312,0.1758684
11.15,0.09824802,0.07212266,0.1703707
11.2,0.08226411,0.08330424,0.1655684
11.25,0.06731515,0.09411301,0.1614282
11.3,0.05359278,0.1043132,0.157906
11.35,0.04125667,0.1136941,0.1549508
11.4,0.03043285,0.1220734,0.1525063
11.45,0.021213,0.1292976,0.1505105
11.5,0.01365432,0.1352435,0.1488978
11.55,0.007780181,0.1398197,0.1475999
11.6,0.003581322,0.142968,0.1465493
11.65,0.001017583,0.1446602,0.1456778
11.7,2.023014E-05,0.1448989,0.1449192
11.75,0.0004946559,0.1437163,0.1442109
11.8,0.002323464,0.1411705,0.143494
11.85,0.005369838,0.1373455,0.1427153
11.9,0.009481135,0.1323431,0.1418242
11.95,0.01449253,0.1262874,0.14078
12,0.02023084,0.1193152,0.139546
12.05,0.02651816,0.1115741,0.1380922
12.1,0.03317551,0.1032235,0.136399
12.15,0.04002639,0.09442447,0.1344509
12.2,0.04689994,0.08534162,0.1322416
12.25,0.05363404,0.07613581,0.1297698
12.3,0.06007788,0.06696552,0.1270434
12.35,0.06609444,0.0579779,0.1240723
12.4,0.07156226,0.04931291,0.1208752
12.45,0.07637712,0.0410975,0.1174746
12.5,0.08045323,0.03344317,0.1138964
12.55,0.08372387,0.02644604,0.1101699
12.6,0.08614167,0.02018647,0.1063281
12.65,0.0876788,0.01472666,0.1024055
12.7,0.08832636,0.01011065,0.09843701
12.75,0.0880937,0.00636414,0.09445783
12.8,0.08700717,0.003496219,0.09050339
12.85,0.085109,0.001498343,0.08660734
12.9,0.08245552,0.0003462895,0.08280181
12.95,0.07911538,1.166653E-06,0.07911655
13,0.0751676,0.0004109167,0.07557851
13.05,0.07069958,0.001511944,0.07221153
13.1,0.06580494,0.003230795,0.06903574
13.15,0.06058139,0.005486267,0.06606766
13.2,0.05512862,0.008191221,0.06331985
13.25,0.04954625,0.01125441,0.06080065
13.3,0.04393193,0.01458225,0.05851418
13.35,0.0383796,0.01808184,0.05646144
13.4,0.03297765,0.02166184,0.05463949
13.45,0.02780761,0.02523392,0.05304153
13.5,0.02294286,0.02871417,0.05165703
13.55,0.01844771,0.03202599,0.0504737
13.6,0.01437644,0.03509986,0.0494763
13.65,0.0107728,0.03787421,0.04864702
13.7,0.007669737,0.04029706,0.04796679
13.75,0.005089198,0.04232666,0.04741586
