Time,Kinetic Energy,Potential Energy,Total Energy
0,0,49,49
0.05,0.1200499,48.87995,49
0.1,0.4801914,48.51981,49
0.15,1.080348,47.91967,49.00002
0.2,1.920216,47.0798,49.00001
0.25,2.999012,46.00101,49.00002
0.3,4.315106,44.68494,49.00004
0.35,5.865564,43.1345,49.00006
0.4,7.645599,41.35448,49.00008
0.45,9.647938,39.35218,49.00011
0.5,11.86213,37.138,49.00014
0.55,14.27384,34.72634,49.00017
0.6,16.86408,32.13613,49.00021
0.65,19.60863,29.39164,49.00026
0.7,22.47741,26.5229,49.00031
0.75,25.4342,23.56615,49.00035
0.8,28.43652,20.56386,49.00038
0.85,31.4359,17.56451,49.00041
0.9,34.37856,14.62187,49.00043
0.95,37.20653,11.79391,49.00044
1,39.85924,9.141191,49.00043
1.05,42.27557,6.724841,49.00041
1.1,44.39619,4.604184,49.00037
1.15,46.16618,2.834135,49.00031
1.2,47.53766,1.462576,49.00024
1.25,48.47226,0.5278872,49.00015
1.3,48.94319,0.05686099,49.00005
1.35,48.93676,0.06319909,48.99995
1.4,48.45314,0.5467156,48.99986
1.45,47.50642,1.493352,48.99977
1.5,46.12372,2.875982,48.9997
1.55,44.34369,4.655954,48.99965
1.6,42.21445,6.785165,48.99961
1.65,39.79105,9.208542,48.9996
1.7,37.13292,11.86668,48.9996
1.75,34.30117,14.69845,48.99962
1.8,31.35633,17.64332,48.99965
1.85,28.35626,20.64341,48.99968
1.9,25.35463,23.64509,48.99972
1.95,22.39973,26.60003,48.99976
2,19.53388,29.46594,48.99982
2.05,16.79314,32.20672,48.99986
2.1,14.2074,34.79248,48.99989
2.15,11.80077,37.19915,48.99992
2.2,9.592065,39.40789,48.99995
2.25,7.595532,41.40445,48.99998
2.3,5.821523,43.17848,49
2.35,4.277237,44.72278,49.00002
2.4,2.967406,46.03263,49.00004
2.45,1.894923,47.10512,49.00004
2.5,1.061392,47.93865,49.00005
2.55,0.4675818,48.53247,49.00005
2.6,0.1137874,48.88625,49.00004
2.65,8.386866E-05,48.99995,49.00003
2.7,0.1264799,48.87354,49.00002
2.75,0.4929669,48.50705,49.00001
2.8,1.099464,47.90055,49.00002
2.85,1.945661,47.05436,49.00002
2.9,3.030755,45.96927,49.00002
2.95,4.353088,44.64695,49.00004
3,5.909686,43.09035,49.00004
3.05,7.695703,41.30436,49.00006
3.1,9.703791,39.29628,49.00008
3.15,11.92341,37.07669,49.0001
3.2,14.3401,34.66003,49.00013
3.25,16.93476,32.0654,49.00015
3.3,19.68299,29.31721,49.0002
3.35,22.5546,26.44565,49.00025
3.4,25.51316,23.48712,49.00028
3.45,28.51605,20.48428,49.00033
3.5,31.51464,17.48573,49.00037
3.55,34.45503,14.54536,49.00039
3.6,37.27915,11.72125,49.0004
3.65,39.92639,9.074001,49.00039
3.7,42.33565,6.664724,49.00037
3.75,44.44768,4.552654,49.00034
3.8,46.20772,2.792557,49.00027
3.85,47.5681,1.432102,49.0002
3.9,48.49073,0.5093784,49.00011
3.95,48.94916,0.05085589,49.00002
4,48.93004,0.06987246,48.99992
4.05,48.43395,0.5658705,48.99982
4.1,47.4753,1.524434,48.99973
4.15,46.08155,2.918114,48.99966
4.2,44.29164,4.707974,48.99961
4.25,42.15388,6.845685,48.99957
4.3,39.72351,9.27604,48.99955
4.35,37.05999,11.93956,48.99955
4.4,34.22448,14.77509,48.99957
4.45,31.27745,17.72215,48.9996
4.5,28.27669,20.72295,48.99964
4.55,25.27569,23.724,48.99969
4.6,22.32263,26.67711,48.99974
4.65,19.45966,29.54013,48.99979
4.7,16.72265,32.27718,48.99984
4.75,14.14137,34.85852,48.99989
4.8,11.73975,37.26017,48.99991
4.85,9.53649,39.46347,48.99996
4.9,7.545722,41.45425,48.99997
4.95,5.777707,43.22229,49
5,4.23957,44.76044,49.00002
5.05,2.935984,46.06405,49.00004
5.1,1.869803,47.13025,49.00005
5.15,1.042603,47.95746,49.00006
5.2,0.4551371,48.54493,49.00006
5.25,0.1076906,48.89238,49.00007
5.3,0.000335601,48.99974,49.00008
5.35,0.1330802,48.86701,49.00009
5.4,0.505915,48.49418,49.0001
5.45,1.118756,47.88133,49.00009
5.5,1.971283,47.0288,49.00009
5.55,3.062675,45.93742,49.0001
5.6,4.391247,44.60886,49.00011
5.65,5.953983,43.04613,49.00011
5.7,7.745979,41.25415,49.00013
5.75,9.759813,39.24035,49.00016
5.8,11.98485,37.01533,49.00018
5.85,14.40651,34.59369,49.0002
5.9,17.00557,31.99467,49.00024
5.95,19.75749,29.2428,49.00028
6,22.63189,26.36845,49.00033
6.05,25.5922,23.40818,49.00038
6.1,28.59563,20.40479,49.00042
6.15,31.5934,17.40704,49.00045
6.2,34.53149,14.46898,49.00046
6.25,37.35172,11.64875,49.00047
6.3,39.99346,9.007,49.00046
6.35,42.39561,6.604818,49.00043
6.4,44.49902,4.501366,49.00039
6.45,46.24907,2.75126,49.00033
6.5,47.59833,1.401931,49.00026
6.55,48.50898,0.4911934,49.00017
6.6,48.95489,0.04518521,49.00008
6.65,48.9231,0.07688106,48.99998
6.7,48.41453,0.5853549,48.99988
6.75,47.44396,1.555834,48.9998
6.8,46.03918,2.96054,48.99973
6.85,44.23941,4.760254,48.99967
6.9,42.09319,6.906448,48.99963
6.95,39.65586,9.343751,48.99961
7,36.987,12.01261,48.99961
7.05,34.14777,14.85185,48.99962
7.1,31.19859,17.80106,48.99965
7.15,28.19715,20.80254,48.99969
7.2,25.19683,23.8029,48.99973
7.25,22.24563,26.75414,48.99977
7.3,19.38555,29.61426,48.99981
7.35,16.65231,32.34754,48.99985
7.4,14.07549,34.9244,48.99989
7.45,11.67889,37.32103,48.99992
7.5,9.481085,39.51886,48.99995
7.55,7.496088,41.50388,48.99997
7.6,5.73407,43.26593,49
7.65,4.20208,44.79794,49.00002
7.7,2.904739,46.0953,49.00004
7.75,1.844859,47.15518,49.00004
7.8,1.023989,47.97605,49.00004
7.85,0.4428647,48.55719,49.00005
7.9,0.1017638,48.89828,49.00005
7.95,0.0007550148,48.99929,49.00005
8,0.1398458,48.8602,49.00005
8.05,0.5190259,48.48102,49.00005
8.1,1.138208,47.86185,49.00005
8.15,1.997061,47.003,49.00006
8.2,3.09475,45.90533,49.00008
8.25,4.429557,44.57053,49.00008
8.3,5.998425,43.00167,49.00009
8.35,7.796393,41.20372,49.00011
8.4,9.815962,39.18418,49.00014
8.45,12.0464,36.95378,49.00018
8.5,14.47302,34.52719,49.00021
8.55,17.07646,31.9238,49.00026
8.6,19.83204,29.16826,49.0003
8.65,22.7092,26.29114,49.00034
8.7,25.67124,23.32914,49.00037
8.75,28.67517,20.32524,49.00042
8.8,31.67208,17.32836,49.00044
8.85,34.60781,14.39265,49.00046
8.9,37.42411,11.57636,49.00047
8.95,40.06031,8.940161,49.00047
9,42.45531,6.545132,49.00045
9.05,44.55006,4.45035,49.00041
9.1,46.29009,2.710257,49.00035
9.15,47.6282,1.372079,49.00027
9.2,48.52685,0.473342,49.00019
9.25,48.96024,0.03985088,49.0001
9.3,48.91577,0.08422092,48.99999
9.35,48.39474,0.6051543,48.9999
9.4,47.4123,1.587517,48.99981
9.45,45.99653,3.00321,48.99974
9.5,44.18695,4.812742,48.99969
9.55,42.03229,6.967357,48.99965
9.6,39.58807,9.411551,48.99963
9.65,36.91393,12.0857,48.99963
9.7,34.07102,14.92861,48.99963
9.75,31.11974,17.87992,48.99966
9.8,28.11765,20.88203,48.99969
9.85,25.11804,23.88169,48.99973
9.9,22.16874,26.83104,48.99978
9.95,19.31158,29.68826,48.99984
10,16.58211,32.41777,48.99989
10.05,14.00977,34.99016,48.99993
10.1,11.6182,37.38175,48.99995
10.15,9.425859,39.57412,48.99998
10.2,7.446637,41.55338,49.00001
10.25,5.690617,43.30942,49.00004
10.3,4.164776,44.83529,49.00006
10.35,2.873678,46.1264,49.00008
10.4,1.820097,47.17998,49.00008
10.45,1.005553,47.99453,49.00009
10.5,0.430767,48.56932,49.00008
10.55,0.09600804,48.90409,49.0001
10.6,0.001341779,48.99876,49.0001
10.65,0.1467751,48.85334,49.00011
10.7,0.532297,48.46783,49.00012
10.75,1.157816,47.8423,49.00011
10.8,2.022993,46.97712,49.00011
10.85,3.126972,45.87315,49.00013
10.9,4.468009,44.53212,49.00013
10.95,6.043002,42.95713,49.00013
11,7.846932,41.15321,49.00014
11.05,9.872226,39.12795,49.00018
11.1,12.10805,36.89215,49.0002
11.15,14.53962,34.46063,49.00024
11.2,17.14742,31.85287,49.00028
11.25,19.90662,29.09371,49.00033
11.3,22.78653,26.21385,49.00038
11.35,25.75026,23.25016,49.00042
11.4,28.75466,20.24579,49.00045
11.45,31.75068,17.2498,49.00048
11.5,34.68402,14.31648,49.0005
11.55,37.49636,11.50415,49.00051
11.6,40.12696,8.87354,49.0005
11.65,42.51479,6.485693,49.00048
11.7,44.60083,4.399596,49.00043
11.75,46.33082,2.669549,49.00037
11.8,47.65775,1.342546,49.0003
11.85,48.54439,0.4558243,49.00021
11.9,48.96526,0.0348536,49.00011
11.95,48.90813,0.09189,49.00002
12,48.37466,0.6252679,48.99992
12.05,47.38034,1.619498,48.99984
12.1,45.95362,3.046155,48.99977
12.15,44.13425,4.865467,48.99972
12.2,41.97121,7.028482,48.99969
12.25,39.52013,9.479536,48.99966
12.3,36.84073,12.15893,48.99966
12.35,33.99419,15.00548,48.99967
12.4,31.04083,17.95887,48.9997
12.45,28.03815,20.96159,48.99974
12.5,25.03927,23.96051,48.99978
12.55,22.0919,26.90794,48.99983
12.6,19.23768,29.76219,48.99987
12.65,16.51201,32.4879,48.99992
12.7,13.94417,35.05579,48.99995
12.75,11.55765,37.44233,48.99998
12.8,9.370774,39.62924,49.00001
12.85,7.397334,41.6027,49.00003
12.9,5.647316,43.35275,49.00006
12.95,4.127628,44.87246,49.00009
13,2.842777,46.15732,49.0001
13.05,1.795496,47.20461,49.0001
13.1,0.9872802,48.01282,49.0001
13.15,0.4188342,48.58128,49.00011
13.2,0.09041864,48.90969,49.00011
13.25,0.00209627,48.99801,49.00011
13.3,0.1538734,48.84623,49.0001
13.35,0.5457383,48.45436,49.0001
13.4,1.177595,47.82251,49.00011
13.45,2.049096,46.95101,49.00011
13.5,3.159366,45.84076,49.00013
13.55,4.506631,44.49351,49.00014
13.6,6.087749,42.9124,49.00015
13.65,7.897639,41.10252,49.00016
13.7,9.928651,39.07153,49.00018
13.75,12.16986,36.83035,49.00021
13.8,14.60635,34.39388,49.00023
13.85,17.2185,31.78177,49.00027
13.9,19.98132,29.01898,49.0003
13.95,22.86395,26.13639,49.00034
14,25.82932,23.17106,49.00039
14.05,28.83416,20.16627,49.00043
14.1,31.82924,17.17122,49.00046
14.15,34.76014,14.24033,49.00047
14.2,37.56846,11.43202,49.00048
14.25,40.19344,8.807042,49.00048
14.3,42.57402,6.426431,49.00045
14.35,44.65133,4.349077,49.00041
14.4,46.37123,2.629115,49.00035
14.45,47.68696,1.313311,49.00027
14.5,48.56156,0.4386244,49.00018
14.55,48.9699,0.0301888,49.00009
14.6,48.90009,0.09989665,48.99999
14.65,48.35418,0.6457139,48.99989
14.7,47.34802,1.651791,48.99981
14.75,45.91036,3.089375,48.99974
14.8,44.08125,4.918429,48.99968
14.85,41.90986,7.089787,48.99965
14.9,39.45198,9.54765,48.99963
14.95,36.76737,12.23225,48.99962
15,33.91725,15.0824,48.99965
15.05,30.96186,18.03782,48.99968
15.1,27.95862,21.04109,48.99972
15.15,24.96052,24.03925,48.99976
15.2,22.01509,26.98472,48.99982
15.25,19.16384,29.83602,48.99986
15.3,16.442,32.5579,48.9999
15.35,13.87866,35.12128,48.99995
15.4,11.49721,37.50277,48.99998
15.45,9.315818,39.6842,49.00002
15.5,7.34817,41.65186,49.00003
15.55,5.604164,43.39588,49.00004
15.6,4.090633,44.90942,49.00005
15.65,2.812033,46.18802,49.00005
15.7,1.771055,47.22902,49.00007
15.75,0.9691702,48.03091,49.00008
15.8,0.4070658,48.59301,49.00008
15.85,0.08499537,48.91509,49.00009
15.9,0.003018658,48.99708,49.0001
15.95,0.1611415,48.83895,49.00009
16,0.5593511,48.44075,49.0001
16.05,1.197548,47.80254,49.00009
16.1,2.075373,46.92473,49.00011
16.15,3.191934,45.80817,49.0001
16.2,4.545428,44.45469,49.00012
16.25,6.132666,42.86745,49.00012
16.3,7.948511,41.05164,49.00014
16.35,9.985234,39.01494,49.00018
16.4,12.23182,36.76839,49.00021
16.45,14.67322,34.32701,49.00024
16.5,17.2897,31.71057,49.00027
16.55,20.05611,28.9442,49.00031
16.6,22.94142,26.05892,49.00034
16.65,25.90842,23.09195,49.00037
16.7,28.91366,20.08676,49.00042
16.75,31.90776,17.09269,49.00045
16.8,34.83619,14.16428,49.00048
16.85,37.64046,11.36003,49.00048
16.9,40.25975,8.740725,49.00047
16.95,42.63307,6.367381,49.00045
17,44.7016,4.298802,49.0004
17.05,46.41138,2.588962,49.00035
17.1,47.71588,1.284386,49.00027
17.15,48.57843,0.4217524,49.00018
17.2,48.97423,0.02585853,49.00009
17.25,48.89175,0.108235,48.99998
17.3,48.33342,0.6664768,48.99989
17.35,47.31543,1.684375,48.99981
17.4,45.86687,3.132868,48.99974
17.45,44.02805,4.971636,48.99968
17.5,41.84834,7.151307,48.99965
17.55,39.38368,9.615946,48.99963
17.6,36.69392,12.3057,48.99962
17.65,33.84024,15.15939,48.99963
17.7,30.88288,18.11678,48.99966
17.75,27.87911,21.12058,48.99969
17.8,24.88181,24.11792,48.99973
17.85,21.93837,27.0614,48.99977
17.9,19.09012,29.90971,48.99983
17.95,16.37211,32.62776,48.99987
18,13.81331,35.18661,48.99992
18.05,11.43693,37.56303,48.99996
18.1,9.261028,39.73895,48.99998
18.15,7.299177,41.70083,49.00001
18.2,5.561185,43.43884,49.00002
18.25,4.053814,44.94622,49.00003
18.3,2.781463,46.21857,49.00004
18.35,1.746789,47.25327,49.00006
18.4,0.9512327,48.04884,49.00007
18.45,0.3954686,48.60461,49.00008
18.5,0.07974139,48.92034,49.00008
18.55,0.004108402,48.99598,49.00008
18.6,0.1685749,48.83151,49.00008
18.65,0.5731273,48.42696,49.00008
18.7,1.217661,47.78243,49.00009
18.75,2.101809,46.89828,49.00009
18.8,3.224659,45.77543,49.00009
18.85,4.584377,44.41571,49.00009
18.9,6.177731,42.82236,49.0001
18.95,7.999525,41.00059,49.00011
19,10.04195,38.95819,49.00014
19.05,12.29389,36.70627,49.00016
19.1,14.7402,34.25999,49.00019
19.15,17.36099,31.63925,49.00024
19.2,20.13096,28.86931,49.00027
19.25,23.01894,25.98136,49.00031
19.3,25.98754,23.0128,49.00034
19.35,28.99314,20.00725,49.00038
19.4,31.98622,17.0142,49.00042
19.45,34.91214,14.0883,49.00044
19.5,37.7123,11.28815,49.00045
19.55,40.32587,8.674572,49.00045
19.6,42.69188,6.308545,49.00042
19.65,44.7516,4.248782,49.00039
19.7,46.45123,2.549091,49.00032
19.75,47.74448,1.255771,49.00025
19.8,48.59495,0.4052053,49.00016
19.85,48.9782,0.02186288,49.00006
19.9,48.88305,0.116908,48.99996
19.95,48.31231,0.6875643,48.99987
