Time,Kinetic Energy,Potential Energy,Total Energy
0,50,49,99
0.05,55.00721,43.98873,98.99594
0.1,60.19506,38.79625,98.99132
0.15,65.488,33.49818,98.98618
0.2,70.79234,28.18828,98.98062
0.25,75.99747,22.97728,98.97475
0.3,80.97853,17.99021,98.96874
0.35,85.60098,13.3619,98.96288
0.4,89.72671,9.2307,98.95741
0.45,93.22179,5.730861,98.95265
0.5,95.96484,2.984087,98.94892
0.55,97.85548,1.090968,98.94645
0.6,98.82199,0.1234607,98.94545
0.65,98.82687,0.1191718,98.94604
0.7,97.86991,1.078285,98.9482
0.75,95.98829,2.963548,98.95184
0.8,93.25343,5.703312,98.95674
0.85,89.76543,9.197215,98.96265
0.9,85.64553,13.32372,98.96925
0.95,81.0276,17.94862,98.97622
1,76.04972,22.93356,98.98328
1.05,70.84652,28.14363,98.99015
1.1,65.54296,33.45368,98.99664
1.15,60.24983,38.75278,99.00261
1.2,55.06094,43.94703,99.00797
1.25,50.05205,48.96062,99.01267
1.3,45.28102,53.73571,99.01674
1.35,40.78902,58.23118,99.0202
1.4,36.60235,62.42076,99.0231
1.45,32.73464,66.29087,99.02551
1.5,29.18913,69.83834,99.02747
1.55,25.96095,73.06812,99.02908
1.6,23.03906,75.99129,99.03035
1.65,20.40808,78.62328,99.03136
1.7,18.04978,80.98241,99.0322
1.75,15.94429,83.08854,99.03283
1.8,14.07102,84.96233,99.03335
1.85,12.40943,86.62431,99.03374
1.9,10.93952,88.09455,99.03407
1.95,9.642212,89.39208,99.03429
2,8.499599,90.53489,99.03448
2.05,7.495058,91.53958,99.03464
2.1,6.613328,92.42143,99.03476
2.15,5.840517,93.19434,99.03486
2.2,5.164057,93.87087,99.03493
2.25,4.572654,94.46233,99.03498
2.3,4.056209,94.97882,99.03503
2.35,3.605731,95.42934,99.03506
2.4,3.213245,95.82185,99.03509
2.45,2.871702,96.16342,99.03513
2.5,2.574895,96.46025,99.03515
2.55,2.317369,96.7178,99.03516
2.6,2.094352,96.94083,99.03518
2.65,1.901676,97.13351,99.03519
2.7,1.735718,97.29948,99.0352
2.75,1.593338,97.44188,99.03522
2.8,1.47183,97.56339,99.03522
2.85,1.368874,97.66636,99.03523
2.9,1.282497,97.75275,99.03525
2.95,1.211041,97.82421,99.03526
3,1.153129,97.88213,99.03526
3.05,1.107642,97.92762,99.03526
3.1,1.073703,97.96157,99.03527
3.15,1.050653,97.98463,99.03528
3.2,1.038046,97.99724,99.03529
3.25,1.035637,97.99966,99.03529
3.3,1.043381,97.99191,99.03529
