Time,Kinetic Energy,Potential Energy,Total Energy
0,0,49,49
0.1,0.4802001,49,49.4802
0.2,1.9208,48.03967,49.96046
0.3,4.321247,46.12047,50.44172
0.4,7.675826,43.25106,50.92689
0.5,11.96265,39.45936,51.42202
0.6,17.12643,34.8107,51.93713
0.7,23.05616,29.43051,52.48667
0.8,29.56079,23.52841,53.08921
0.9,36.3484,17.41719,53.76559
1,43.01759,11.51771,54.5353
1.1,49.07164,6.339513,55.41115
1.2,53.96402,2.429171,56.39319
1.3,57.17629,0.287709,57.464
1.4,58.31588,0.2721919,58.58807
1.5,57.20721,2.509781,59.71699
1.6,53.94331,6.85618,60.79949
1.7,48.87529,12.918,61.79329
1.8,42.5396,20.13397,62.67357
1.9,35.54882,27.88674,63.43555
2,28.483,35.60782,64.09081
2.1,21.81231,42.84814,64.66045
2.2,15.86336,49.30465,65.16801
2.3,10.82366,54.81093,65.63458
2.4,6.769666,59.30672,66.07639
2.5,3.703302,62.80094,66.50424
2.6,1.586303,65.33833,66.92464
2.7,0.3674504,66.97328,67.34073
2.8,0.001481292,67.75216,67.75364
2.9,0.460633,67.70289,68.16352
3,1.740288,66.83009,68.57037
3.1,3.859885,65.11509,68.97498
3.2,6.859556,62.52014,69.3797
3.3,10.79214,58.99731,69.78945
3.4,15.70955,54.50339,70.21294
3.5,21.64211,49.02186,70.66397
3.6,28.5698,42.59278,71.16258
3.7,36.38608,35.34951,71.73558
3.8,44.8581,27.5575,72.4156
3.9,53.59281,19.64446,73.23727
4,62.02435,12.20575,74.23011
4.1,69.44216,5.965925,75.40809
4.2,75.07491,1.683816,76.75872
4.3,78.22832,0.007800709,78.23611
4.4,78.44718,1.316409,79.76359
4.5,75.64642,5.601607,81.24803
4.6,70.1533,12.44853,82.60183
4.7,62.63518,21.12843,83.76361
4.8,53.93868,30.76999,84.70866
4.9,44.9044,40.5421,85.4465
5,36.22247,49.78671,86.00919
5.1,28.3624,58.07526,86.43766
5.2,21.57286,65.19837,86.77124
5.3,15.92533,71.1166,87.04193
5.4,11.37236,75.90073,87.27309
5.5,7.801381,79.67897,87.48035
5.6,5.074935,82.59855,87.67348
5.7,3.056741,84.80145,87.85819
5.8,1.626198,86.41141,88.03761
5.9,0.6850888,87.52821,88.2133
6,0.1596382,88.22636,88.386
6.1,0.0002475529,88.55569,88.55594
6.2,0.1803868,88.54282,88.72321
6.3,0.69548,88.19235,88.88783
6.4,1.562194,87.48779,89.04999
6.5,2.818226,86.39188,89.21011
6.6,4.522459,84.84663,89.36909
6.7,6.755071,82.77361,89.52869
6.8,9.616923,80.07496,89.69188
6.9,13.22708,76.63667,89.86375
7,17.71679,72.33566,90.05244
7.1,23.21762,67.05303,90.27065
7.2,29.84093,60.69655,90.53748
7.3,37.64581,53.23439,90.8802
7.4,46.59414,44.74152,91.33566
7.5,56.49527,35.45454,91.94981
7.6,66.94994,25.82356,92.7735
7.7,77.31409,16.53903,93.85313
7.8,86.71214,8.502955,95.2151
7.9,94.12999,2.717551,96.84754
8,98.59753,0.08873417,98.68627
8.1,99.4271,1.188112,100.6152
8.2,96.42535,6.061882,102.4872
8.3,89.98,14.18022,104.1602
8.4,80.96791,24.56518,105.5331
8.5,70.51903,36.04565,106.5647
8.6,59.74133,47.52843,107.2698
8.7,49.51373,58.18575,107.6995
8.8,40.39772,67.52064,107.9184
8.9,32.65393,75.33369,107.9876
9,26.31665,81.64024,107.9569
9.1,21.28102,86.58141,107.8624
9.2,17.37615,90.35292,107.7291
9.3,14.4152,93.15779,107.573
9.4,12.22462,95.17982,107.4044
9.5,10.65809,96.57178,107.2299
9.6,9.601223,97.45201,107.0532
9.7,8.971447,97.90569,106.8771
9.8,8.715859,97.98742,106.7033
