Time,Kinetic Energy,Potential Energy,Total Energy
0,0,49,49
0.2,1.9208,45.16233,47.08313
0.4,7.659618,37.59264,45.25226
0.6,16.93694,26.90629,43.84323
0.8,28.64928,14.87012,43.5194
1,40.28374,4.692487,44.97622
1.2,48.14678,0.05808165,48.20486
1.4,49.08751,2.931192,52.01871
1.6,42.69435,12.07322,54.76757
1.8,31.61909,23.9991,55.61819
2,19.63489,35.23358,54.86847
2.2,9.616321,43.652,53.26832
2.4,2.970002,48.41827,51.38827
2.6,0.1139318,49.35386,49.46779
2.8,1.099049,46.44913,47.54818
3,5.916596,39.76133,45.67792
3.2,14.39047,29.72591,44.11638
3.4,25.68144,17.77406,43.4555
3.6,37.64738,6.791062,44.43844
3.8,46.78124,0.5202624,47.3015
4,49.57718,1.553167,51.13034
4.2,44.82207,9.440596,54.26267
4.4,34.54032,21.04357,55.58389
4.6,22.45697,32.70114,55.15811
4.8,11.77772,41.92205,53.69976
5,4.245551,47.60873,51.85428
5.2,0.4557639,49.47982,49.93558
5.4,0.5051798,47.50994,48.01512
5.6,4.393419,41.72674,46.12016
5.8,12.01749,32.42437,44.44186
6,22.76099,20.73038,43.49137
6.2,34.84382,9.1745,44.01832
6.4,45.02807,1.43161,46.45968
6.6,49.60188,0.5956508,50.19753
6.8,46.61363,7.030315,53.64395
7,37.35814,18.08476,55.44289
7.2,25.37,30.01717,55.38716
7.4,14.1313,39.97869,54.10999
7.6,5.745245,46.57187,52.31711
7.8,1.025556,49.37792,50.40347
8,0.1392715,48.3435,48.48277
8.2,3.094066,43.47953,46.5736
8.4,9.835131,34.97392,44.80905
8.6,19.92763,23.68845,43.61609
8.8,31.93085,11.78638,43.71724
9,42.9334,2.76681,45.70021
9.2,49.16087,0.08518905,49.24606
9.4,48.02203,4.899082,52.92111
9.6,40.01491,15.17278,55.18768
9.8,28.33486,27.20889,55.54374
10,16.66038,37.83094,54.49132
10.2,7.465285,45.30886,52.77415
10.4,1.823245,49.04813,50.87138
10.6,0.001271115,48.9493,48.95057
10.8,2.020893,45.01329,47.03419
11,7.856336,37.35217,45.20851
11.2,17.21519,26.6027,43.81789
11.4,28.96371,14.56863,43.53234
11.6,40.55002,4.489635,45.03966
11.8,48.26672,0.03614022,48.30286
12,49.00904,3.099873,52.10891
12.2,42.45206,12.36191,54.81396
12.4,31.30673,24.30917,55.6159
12.6,19.34349,35.49126,54.83475
12.8,9.399765,43.82195,53.22171
13,2.848447,48.49044,51.33888
13.2,0.09113155,49.32719,49.41833
13.4,1.175096,46.32379,47.49888
13.6,6.090427,39.5416,45.63203
13.8,14.65162,29.4332,44.08482
14,25.99346,17.46387,43.45733
14.2,37.93478,6.554947,44.48973
14.4,46.94451,0.4498875,47.39439
14.6,49.54725,1.679442,51.2267
14.8,44.61228,9.709205,54.32149
15,34.23561,21.35677,55.59238
15.2,22.15391,32.97622,55.13013
15.4,11.54005,42.11497,53.65502
15.6,4.100161,47.70496,51.80512
15.8,0.4088838,49.47725,49.88613
16,0.5571479,47.40856,47.96571
16.2,4.54381,41.52899,46.0728
16.4,12.25943,32.14587,44.4053
16.6,23.06604,20.41712,43.48316
16.8,35.14614,8.910908,44.05705
17,45.23026,1.314769,46.54503
17.2,49.62134,0.6760545,50.29739
17.4,46.44168,7.272736,53.71442
17.6,37.06701,18.39606,55.46307
17.8,25.05904,30.30712,55.36617
18,13.87401,40.19386,54.06787
18.2,5.576303,46.69213,52.26843
18.4,0.9545845,49.39946,50.35405
18.6,0.1671623,48.2662,48.43336
18.8,3.220693,43.30461,46.5253
19,10.05628,34.71232,44.7686
19.2,20.22182,23.37726,43.59908
19.4,32.24212,11.50137,43.74348
19.6,43.16932,2.606714,45.77604
19.8,49.22921,0.1174667,49.34667
